Model,Zbiór danych,Uśrednianie,Dokładność (avg),Odzysk (avg),Precyzja (avg),Miara F (avg),Specyficzność (avg),TP rate (avg),FP rate (avg),Dokładność (std),Odzysk (std),Precyzja (std),Miara F (std),Specyficzność (std),TP rate (std),FP rate (std)
ID3,Car,micro,0.96,0.922,0.922,0.922,0.973,0.922,0.027,0.001,0.003,0.003,0.003,0.001,0.003,0.001
ID3,Car,macro,0.96,0.847,0.829,0.836,0.963,0.847,0.037,0.001,0.021,0.019,0.013,0.007,0.021,0.007
One-vs-Rest,Car,micro,0.967,0.936,0.936,0.936,0.978,0.936,0.022,0.005,0.01,0.01,0.01,0.004,0.01,0.004
One-vs-Rest,Car,macro,0.967,0.855,0.868,0.859,0.967,0.855,0.033,0.005,0.046,0.036,0.037,0.004,0.046,0.004
One-vs-One,Car,micro,0.977,0.956,0.956,0.956,0.985,0.956,0.015,0.005,0.009,0.009,0.009,0.003,0.009,0.003
One-vs-One,Car,macro,0.978,0.953,0.946,0.948,0.977,0.953,0.023,0.005,0.028,0.014,0.016,0.008,0.028,0.008
ID3,Balance-scale,micro,0.786,0.71,0.71,0.71,0.83,0.71,0.17,0.02,0.024,0.024,0.024,0.016,0.024,0.016
ID3,Balance-scale,macro,0.791,0.515,0.487,0.5,0.809,0.515,0.191,0.018,0.013,0.029,0.018,0.02,0.013,0.02
One-vs-Rest,Balance-scale,micro,0.779,0.702,0.702,0.702,0.825,0.702,0.175,0.029,0.036,0.036,0.036,0.024,0.036,0.024
One-vs-Rest,Balance-scale,macro,0.784,0.508,0.483,0.494,0.802,0.508,0.198,0.027,0.026,0.027,0.025,0.024,0.026,0.024
One-vs-One,Balance-scale,micro,0.748,0.664,0.664,0.664,0.798,0.664,0.202,0.026,0.03,0.03,0.03,0.022,0.03,0.022
One-vs-One,Balance-scale,macro,0.751,0.481,0.478,0.477,0.778,0.481,0.222,0.026,0.016,0.02,0.016,0.02,0.016,0.02
ID3,Primary tumor,micro,0.843,0.392,0.392,0.392,0.909,0.392,0.091,0.052,0.09,0.09,0.09,0.032,0.09,0.032
ID3,Primary tumor,macro,0.854,0.231,0.235,0.217,0.911,0.231,0.089,0.046,0.056,0.081,0.064,0.031,0.056,0.031
One-vs-Rest,Primary tumor,micro,0.807,0.333,0.333,0.333,0.887,0.333,0.113,0.049,0.073,0.073,0.073,0.032,0.073,0.032
One-vs-Rest,Primary tumor,macro,0.822,0.207,0.215,0.194,0.896,0.207,0.104,0.04,0.049,0.056,0.05,0.022,0.049,0.022
One-vs-One,Primary tumor,micro,0.854,0.413,0.413,0.413,0.916,0.413,0.084,0.029,0.063,0.063,0.063,0.018,0.063,0.018
One-vs-One,Primary tumor,macro,0.863,0.267,0.263,0.258,0.917,0.267,0.083,0.026,0.081,0.073,0.071,0.017,0.081,0.017
